WKT,id,shear_stre
"POLYGON ((361795.327821090992074 -1023197.892640956561081,422510.714018531609327 -1053555.585739676840603,446409.323479226324707 -1045804.6853740462102,472891.566395131289028 -1010925.633728707907721,495498.359128220879938 -1036116.059917007456534,474183.38312273635529 -1039991.510099822771735,454160.223844857013319 -1063890.119560517603531,459973.399119080044329 -1081975.553746989229694,474183.38312273635529 -1087788.729021212318912,501311.534402443910949 -1092310.087567830225453,499373.809311036253348 -1120730.055575142847374,458035.674027672386728 -1133648.222851193975657,448347.048570633982308 -1163360.007586111780256,457389.765663869795389 -1176924.083225965499878,477412.924941749195568 -1178861.808317373273894,497436.084219628595747 -1161422.28249470423907,501311.534402443910949 -1184674.983591596363112,461911.124210487585515 -1189196.342138214036822,436074.789658385212533 -1208573.593052290845662,403133.463104454625864 -1224075.39378355210647,371483.953278129163664 -1261538.078884100774303,373421.678369536821265 -1172402.724679347593337,346293.527089829323813 -1149795.931946257827803,326916.276175752514973 -1109103.705026696668938,313998.108899701270275 -1080683.737019383814186,357273.969274472794496 -1039991.51009982265532,361795.327821090992074 -1023197.892640956561081))",,80000
"POLYGON ((151552.155403358396143 -972655.563173405709676,179649.169228769722395 -951986.495531723834574,193921.570060483412817 -941239.967237902339548,192655.219254031777382 -955169.826108870096505,192655.219254031777382 -974798.263608870096505,202786.025705644744448 -964667.457157257245854,209750.955141128622927 -943772.668850805610418,224539.800513047637651 -935838.786436660448089,221794.68996688676998 -949887.293349366169423,225670.140149702114286 -967488.296262985910289,211460.156146045803325 -990095.088996075559407,228253.773604912334122 -1015285.51518437534105,282510.076164327329025 -1023036.415550006087869,343225.462361767888069 -1013993.698456770274788,361795.327821090992074 -1023197.892640956561081,357273.969274472794496 -1039991.51009982265532,313998.108899701270275 -1080683.737019383814186,326916.276175752514973 -1109103.705026696668938,346293.527089829323813 -1149795.931946257827803,315935.833991108986083 -1180799.53340878104791,281056.782345770741813 -1184029.075227793771774,255220.447793668310624 -1171756.816315545234829,223570.937967342848424 -1151087.748673863243312,228092.296513960813172 -1112333.246845709625632,197088.695051437884104 -1073578.745017556007951,186754.161230596917449 -1048388.318829256109893,168022.818680322670843 -1001237.008271669154055,151552.155403358396143 -972655.563173405709676))",,90000
"POLYGON ((371483.953278129163664 -1261538.078884100774303,368254.411459116381593 -1300938.489076056983322,385693.937281785474624 -1312564.839624502928928,379345.869143789575901 -1373532.533776553347707,321214.116401559207588 -1459438.346162293804809,281813.706209603114985 -1513694.648721708683297,241121.479290041868808 -1513694.648721708683297,226265.586922582995612 -1492379.672716224333271,263728.272023131430615 -1414870.669059917097911,304420.498942692705896 -1365781.633410922717303,334778.192041412985418 -1322505.773036151193082,371483.953278129163664 -1261538.078884100774303))",,90000
"POLYGON ((346293.527089829323813 -1149795.931946257827803,373421.678369536821265 -1172402.724679347593337,371483.953278129163664 -1261538.078884100774303,334778.192041412985418 -1322505.773036151193082,304420.498942692705896 -1365781.633410922717303,263728.272023131430615 -1414870.669059917097911,226265.586922582995612 -1492379.672716224333271,187511.08509442943614 -1427142.927972165634856,257915.096748908399604 -1307003.972304889699444,315935.833991108986083 -1180799.53340878104791,346293.527089829323813 -1149795.931946257827803))",,80000
"POLYGON ((-176084.862135489995126 -1046773.54791974904947,-130871.276669310871512 -1035147.197371303103864,-89533.141385946946684 -1047257.979192601516843,-61759.081742436857894 -1031756.178461340023205,-71062.336189517081948 -977647.552923386450857,-54916.363407258992083 -982396.368447579909116,-43202.618447581568034 -988728.122479838086292,-28010.369733753148466 -997845.989361705374904,8160.49863919019117 -988480.318086568266153,17203.215732426004251 -977822.830083826091141,28991.043371822801419 -1005596.889727336354554,57411.01137913542334 -1001721.439544521039352,89706.429569263476878 -988803.272268469794653,115542.76412136584986 -977176.921720023732632,151552.155403358396143 -972655.563173405709676,168022.818680322670843 -1001237.008271669154055,136484.324354027339723 -1008594.30822810693644,162966.567269932245836 -1028617.467505986336619,161674.750542327121366 -1055099.710421891184524,109356.173074319842272 -1037660.1845992221497,93208.46397925587371 -1020866.5671403555898,77060.754884191846941 -1049286.535147668095306,36368.527964630629867 -1070601.511153152678162,19574.910505764069967 -1117106.913346936926246,13761.735231541038956 -1133900.530805803369731,-43078.200783084175782 -1128087.355531580513343,-77311.344064619828714 -1136484.164261013735086,-106972.667208616156131 -1159161.603221394354478,-141851.718853954342194 -1102967.575570571701974,-176084.862135489995126 -1046773.54791974904947))",,100000
"POLYGON ((445117.506751621025614 -1288666.230163808213547,483226.100215972110163 -1262829.89561170572415,502714.366630078409798 -1289564.44648222066462,531780.243001193506643 -1325735.314855163916945,541468.868458231911063 -1376116.167231763713062,556324.760825690813363 -1451041.537432860583067,524029.342635562876239 -1473648.33016595011577,468481.223348542756867 -1456208.804343280848116,424559.454609968699515 -1370948.900321343215182,419392.187699548201635 -1335423.940312202321365,445117.506751621025614 -1288666.230163808213547))",,70000
"POLYGON ((518105.151861310470849 -1180153.625044978456572,535655.69318400893826 -1191386.375184231670573,547282.043732455000281 -1277938.095933774486184,556970.669189493404701 -1321213.956308546010405,601538.346291869995184 -1347050.290860648499802,601538.346291869995184 -1372886.625412750756368,590557.904107226524502 -1378699.800686973845586,585390.637196806026623 -1357384.82468148926273,566013.386282729217783 -1339299.390495017636567,565367.477918926626444 -1362552.091591909760609,567951.111374136875384 -1384512.975961196934804,566013.386282729217783 -1418746.119242732413113,571180.653193149715662 -1460084.254526096396148,556324.760825690813363 -1451041.537432860583067,541468.868458231911063 -1376116.167231763713062,531780.243001193506643 -1325735.314855163916945,502714.366630078409798 -1289564.44648222066462,483226.100215972110163 -1262829.89561170572415,496790.175855825829785 -1214386.76832651370205,511646.068223284732085 -1231826.294149182969704,502603.351130048919003 -1249911.728335654595867,518105.151861310354434 -1266059.437430718680844,527793.777318348758854 -1216324.493417921476066,518105.151861310470849 -1180153.625044978456572))",,50000
"POLYGON ((601538.346291869995184 -1347050.290860648499802,642230.573211430921219 -1349633.924315858166665,666775.091035928227939 -1431018.378154980717227,690673.700496622826904 -1513694.648721708450466,680985.075039584422484 -1559554.142551690107211,660961.915761705138721 -1583452.752012384822592,609935.155021302984096 -1565367.317825912963599,578285.645194977521896 -1513694.648721708450466,571180.653193149715662 -1460084.254526096396148,566013.386282729217783 -1418746.119242732413113,567951.111374136875384 -1384512.975961196934804,565367.477918926626444 -1362552.091591909760609,566013.386282729217783 -1339299.390495017636567,585390.637196806026623 -1357384.82468148926273,590557.904107226524502 -1378699.800686973845586,601538.346291869995184 -1372886.625412750756368,601538.346291869995184 -1347050.290860648499802))",,100000
"POLYGON ((578285.645194977521896 -1513694.648721708450466,609935.155021302984096 -1565367.317825912963599,660961.915761705138721 -1583452.752012384822592,680985.075039584422484 -1559554.142551690107211,700362.325953661347739 -1619623.620385327842087,633187.856118195224553 -1649335.405120245646685,622853.322297354228795 -1666774.930942914681509,615748.330295525956899 -1690673.54040360939689,600246.529564264696091 -1717155.783319514244795,586036.545560608385131 -1733303.492414578329772,617040.147023131139576 -1764307.093877101317048,587974.270652015926316 -1789497.520065400982276,519507.98408894467866 -1838586.555714395595714,472356.67353135778103 -1859255.623356077587232,424559.454609968350269 -1799832.053886241978034,383867.227690407133196 -1734595.309142183512449,429726.721520388848148 -1618977.712021525483578,485274.840807408967521 -1540176.891637613065541,578285.645194977521896 -1513694.648721708450466))",,120000
"POLYGON ((445117.506751621025614 -1288666.230163808213547,419392.187699548201635 -1335423.940312202321365,424559.454609968699515 -1370948.900321343215182,468481.223348542756867 -1456208.804343280848116,524029.342635562876239 -1473648.33016595011577,556324.760825690813363 -1451041.537432860583067,571180.653193149715662 -1460084.254526096396148,578285.645194977521896 -1513694.648721708450466,485274.840807408967521 -1540176.891637613065541,440061.255341229785699 -1556970.509096479509026,389680.402964630164206 -1531134.17454437725246,395493.578238853195217 -1436185.645065400982276,379345.869143789575901 -1373532.533776553347707,385693.937281785474624 -1312564.839624502928928,445117.506751621025614 -1288666.230163808213547))",,140000
"POLYGON ((693903.242315635550767 -1919971.009553518379107,670650.541218743426725 -1907052.842277467017993,630604.222662984859198 -1908990.56736887479201,599600.621200461871922 -1900593.758639441570267,578931.553558780113235 -1885737.866271982667968,554591.522090545739047 -1889792.906418991507962,546454.587287222384475 -1909103.300625804811716,517512.913310453877784 -1924887.913558009313419,471064.856803752598353 -1915449.651006900472566,457500.781163898878731 -1879924.69099775957875,472356.67353135778103 -1859255.623356077587232,519507.98408894467866 -1838586.555714395595714,587974.270652015926316 -1789497.520065400982276,617040.147023131139576 -1764307.093877101317048,659670.099034099956043 -1776579.352789350086823,739116.827781814849004 -1820501.121527924202383,693903.242315635550767 -1919971.009553518379107))",,150000
"POLYGON ((517512.913310453877784 -1924887.913558009313419,546454.587287222384475 -1909103.300625804811716,554591.522090545739047 -1889792.906418991507962,578931.553558780113235 -1885737.866271982667968,599600.621200461871922 -1900593.758639441570267,607674.475747994030826 -1908506.136096022790298,584906.20592395379208 -1898494.556457083206624,565367.477918926393613 -1892519.904091909527779,559715.779735654010437 -1904792.163004158064723,555678.852461887989193 -1923039.074281580513343,535655.69318400870543 -1935634.287375730462372,524675.250999365234748 -1941608.939740904141217,510303.789904758217745 -1933535.085193372098729,508204.587722399912309 -1927883.387010099599138,517512.913310453877784 -1924887.913558009313419))",,180000
